WKT,Name,descriptio,timestamp,begin,end,pop,renda,pois_com,conect_bus,iso_15,ext_ciclo,decliv,area_buf,iso15
"MULTIPOLYGON (((-43.9306791685527 -19.834098533888,-43.9311278071136 -19.836893387333,-43.9324672086851 -19.8394202557241,-43.9345662935313 -19.8414317752175,-43.9372195915209 -19.8427310222476,-43.9401673538504 -19.843190798195,-43.9431209888119 -19.842766087843,-43.9457913280535 -19.8414984692769,-43.947916949969 -19.8395120422176,-43.9492897810026 -19.8370012740095,-43.9497754644257 -19.8342119553824,-43.9493265023405 -19.8314171333937,-43.9479868882234 -19.8288903802057,-43.9458877829954 -19.8268790156582,-43.943234664573 -19.8255799041329,-43.9402872131712 -19.825120192491,-43.937333901734 -19.8255448713866,-43.934663775038 -19.8268123747497,-43.9325381735043 -19.828798646863,-43.9311651629035 -19.8313092795664,-43.9306791685527 -19.834098533888)))",Flora Mar,"0",,,,"656",1432.947,60.000,"372",0.768,0.000,16.23325073,3090169.944,
"MULTIPOLYGON (((-43.9231890766927 -19.8477365953759,-43.9236376091027 -19.8505314591584,-43.9249769924358 -19.8530583798279,-43.9270761487817 -19.8550699884209,-43.9297296010316 -19.8563693526336,-43.9326775852761 -19.8568292623529,-43.9356314880546 -19.8564046892457,-43.9383021147556 -19.8551371979513,-43.9404280155942 -19.8531508757351,-43.9418010896905 -19.8506401796947,-43.9422869565287 -19.8478508935192,-43.9418381002876 -19.8450560611109,-43.9404985041263 -19.8425292556637,-43.9383993272484 -19.8405178021302,-43.9357460546052 -19.8392185735867,-43.9327983815024 -19.8387587283253,-43.9298448025551 -19.8391832700583,-43.9271743886823 -19.8404506461304,-43.9250485083756 -19.8424368132871,-43.9236752546727 -19.8449473736583,-43.9231890766927 -19.8477365953759)))",Waldomiro Lobo,"1",,,,"768",1273.222,58.000,"332",1.092,0.024,16.61527112,3090169.944,
"MULTIPOLYGON (((-43.9247064196384 -19.8586406464823,-43.9251549995477 -19.8614355057553,-43.9264944900822 -19.8639624173607,-43.9285938028536 -19.8659740132094,-43.9312474454378 -19.8672733622321,-43.9341956352727 -19.8677332557938,-43.937149738742 -19.8673086671422,-43.9398205415603 -19.8660411624452,-43.9419465766873 -19.8640548302932,-43.9433197301013 -19.8615441287692,-43.9438056135439 -19.8587548421081,-43.9433567095995 -19.8559600142605,-43.9420170061258 -19.8534332179665,-43.9399176728465 -19.8514217772703,-43.9372642100193 -19.8501225639781,-43.9343163315449 -19.8496627348806,-43.9313625521108 -19.8500872921069,-43.9286919622317 -19.8513546814924,-43.9265659476126 -19.853340858492,-43.9251926144416 -19.8558514242853,-43.9247064196384 -19.8586406464823)))",Primeiro de Maio,"2",,,,"553",1573.162,38.000,"539",0.848,0.008,17.06613641,3090169.945,
"MULTIPOLYGON (((-43.9169631563408 -19.8634462183044,-43.9174116086733 -19.8662410898908,-43.9187510098771 -19.8687680545384,-43.9208502803336 -19.870779738972,-43.9235039317821 -19.8720792034455,-43.9264521808024 -19.8725392280079,-43.9294063879785 -19.8721147730646,-43.9320773288541 -19.8708473916802,-43.9342035228498 -19.8688611603677,-43.9355768403711 -19.8663505273453,-43.9360628770861 -19.863561270157,-43.9356141005821 -19.8607664298873,-43.9342744862612 -19.858239580508,-43.9321751951458 -19.8562280512654,-43.9295217233875 -19.854928722628,-43.9265737857707 -19.8544687626621,-43.9236199027662 -19.8548931862886,-43.9209491750075 -19.8561604524049,-43.9188230016708 -19.8581465285263,-43.9174495044594 -19.8606570257126,-43.9169631563408 -19.8634462183044)))",Ṣo Gabriel,"3",,,,"559",1005.006,43.000,"894",0.902,0.016,16.66925178,3090169.944,
"MULTIPOLYGON (((-43.9155056197866 -19.8724841150179,-43.9159540635092 -19.8752789874864,-43.9172935094864 -19.8778059630514,-43.9193928737356 -19.8798176673623,-43.9220466588199 -19.8811171587166,-43.9249950682261 -19.881577214521,-43.9279494468153 -19.8811527921162,-43.9306205533259 -19.8798854413815,-43.9327468909459 -19.8778992358367,-43.9341203160174 -19.8753886211882,-43.9346064136924 -19.8725993731925,-43.9341576456141 -19.8698045320409,-43.9328179863863 -19.8672776717914,-43.9307186014459 -19.8652661227477,-43.9280649961333 -19.8639667673058,-43.9251168982949 -19.8635067761449,-43.9221628440613 -19.8639311672328,-43.9194919508014 -19.8651984026521,-43.9173656338726 -19.8671844529296,-43.9159920290294 -19.8696949316657,-43.9155056197866 -19.8724841150179)))",Minas Shopping,"4",,,,"660",2166.060,58.000,"672",0.902,0.000,17.59936215,3090169.944,
"MULTIPOLYGON (((-43.9033820019734 -19.8834384342607,-43.9038302521591 -19.8862333253239,-43.905169584005 -19.8887603843365,-43.9072689247461 -19.8907722287861,-43.9099227792804 -19.8920719032395,-43.9128713443059 -19.8925321671536,-43.9158259494315 -19.8921079574671,-43.9184973311808 -19.8908408032141,-43.920623965754 -19.888854758675,-43.9219976803915 -19.8863442538087,-43.9224840318913 -19.8835550536521,-43.9220354570695 -19.8807601937446,-43.9206959116522 -19.8782332500029,-43.9185965499816 -19.87622156091,-43.9159428751539 -19.8749220225581,-43.9129946218295 -19.8744618235041,-43.91004034134 -19.8748860020349,-43.907369173162 -19.8761530410169,-43.9052425595184 -19.8781389301993,-43.9038686651742 -19.8806492989642,-43.9033820019734 -19.8834384342607)))",Jos̩ C̢ndido da Silveira,"5",,,,"721",2328.356,46.000,"566",0.533,0.000,16.70270016,3090169.942,
"MULTIPOLYGON (((-43.9013583184482 -19.8949472932326,-43.9018065545519 -19.8977421857016,-43.9031459406257 -19.9002692598021,-43.9052453986211 -19.9022811315362,-43.9078994219645 -19.9035808427862,-43.9108481908155 -19.9040411493932,-43.9138030148014 -19.9036169841078,-43.916474608989 -19.9023498716175,-43.9186014287588 -19.900363862123,-43.9199752832166 -19.8978533821665,-43.9204617154883 -19.8950641943607,-43.9200131545129 -19.8922693330449,-43.9186735546947 -19.8897423742739,-43.9165740757255 -19.8877306579936,-43.9139202321899 -19.8864310829436,-43.9109717752481 -19.8859708412593,-43.9080172761338 -19.8863949753915,-43.9053458956906 -19.8876619725523,-43.9032190968947 -19.889647826593,-43.9018450626289 -19.8921581703494,-43.9013583184482 -19.8949472932326)))",Santa In̩s,"6",,,,"638",1827.252,46.000,"545",0.588,0.008,15.28843183,3090169.945,
"MULTIPOLYGON (((-43.9034475980574 -19.9068433718312,-43.9038958935889 -19.9096382586927,-43.9052354038295 -19.9121653200469,-43.9073350385925 -19.9141771731294,-43.9099892739963 -19.9154768616338,-43.9129382694183 -19.9159371436185,-43.9158933122731 -19.9155129542446,-43.9185650961716 -19.9142458205663,-43.9206920579079 -19.9122597948727,-43.9220659926961 -19.9097493053062,-43.9225524358229 -19.9069601154291,-43.9221038151993 -19.9041652597835,-43.9207640910996 -19.9016383138603,-43.9186644353974 -19.8996266163333,-43.9160103799723 -19.898327064092,-43.9130616967013 -19.89786684703,-43.9101069789387 -19.8982910051881,-43.9074354088993 -19.8995580234355,-43.9053084681022 -19.9015438935735,-43.9039343533352 -19.904054246877,-43.9034475980574 -19.9068433718312)))",Horto Florestal,"7",,,,"566",2224.177,63.000,"673",0.935,0.031,16.12670224,3090169.943,
"MULTIPOLYGON (((-43.9031489329544 -19.9179373245307,-43.9035972441721 -19.9207322099557,-43.9049368336969 -19.9232592746547,-43.9070366036011 -19.9252711355257,-43.9096910167764 -19.9265708354865,-43.9126402151808 -19.9270311314627,-43.9155954663297 -19.9266069572408,-43.9182674434137 -19.9253398383953,-43.9203945642964 -19.9233538257736,-43.9217686086121 -19.9208433462519,-43.9222551009437 -19.9180541624206,-43.9218064644157 -19.9152593082348,-43.9204666608903 -19.9127323590393,-43.9183668700358 -19.910720653818,-43.9157126369632 -19.9094210902,-43.9127637509211 -19.9089608591813,-43.9098088250825 -19.909385002164,-43.9071370619991 -19.910652005506,-43.9050099620666 -19.912637862478,-43.9036357376483 -19.915148205657,-43.9031489329544 -19.9179373245307)))",Santa Teresa,"8",,,,"534",2177.403,84.000,"1076",0.802,0.050,16.39543543,3090169.945,
"MULTIPOLYGON (((-43.9134837855956 -19.9198438744209,-43.9139322834734 -19.9226387419791,-43.9152720558539 -19.9251657367126,-43.9173719868912 -19.9271774823519,-43.9200265236757 -19.9284770330916,-43.9229757960396 -19.9289371604761,-43.9259310642439 -19.9285128148167,-43.9286029998126 -19.9272455384927,-43.9307300246923 -19.9252593977832,-43.9321039279428 -19.9227488321051,-43.9325902479818 -19.9199596124706,-43.9321414248138 -19.9171647763176,-43.9308014385675 -19.9146378972021,-43.9287014867782 -19.9126263072318,-43.926047130282 -19.9113268927515,-43.9230981703829 -19.9108668301706,-43.9201432274689 -19.9112911444249,-43.917471505766 -19.9125583051308,-43.9153445016384 -19.9145442901714,-43.9139704180995 -19.91705471959,-43.9134837855956 -19.9198438744209)))",Santa Efig̻nia,"9",,,,"562",3276.589,68.000,"1327",0.802,0.035,19.97871609,3090169.943,
